"Year","Month","Adult Book of Tickets Ridership","Adult Cash-Single Ticket Ride Ridership","Adult Day Pass Ridership","Adult Low Income Monthly Pass Ridership","Adult Monthly Pass Ridership","Adult Ridership","Airport BRT Ridership - Total Trips","Boarding Passengers","Bus Boarding Passengers","CTrain Boarding Passengers","Free Fare Zone Ridership","Low Income Monthly Pass Ridership","Ridership","Seniors Low Income Pass Ridership","Seniors Pass Ridership","Seniors Regular Pass Ridership","U-Pass Ridership","Youth Book of Tickets Ridership","Youth Cash-Single Ticket Ride Ridership","Youth Day Pass Ridership","Youth Low Income Monthly Pass Ridership","Youth Monthly Pass Ridership","Youth Ridership","Weekend Group Pass Ridership","Date"
"2010","Dec","1,171,400","553,200","-6,700",,"2,330,100","4,302,900",,"11,901,000","5,712,500","6,188,500","650,487",,"7,720,854",,"586,898",,"692,900","154,900","83,900","-7,500",,"1,217,000","1,448,300",,"2010/12"
"2010","Nov","1,072,200","598,500","3,700",,"2,809,200","4,765,600",,"13,284,000","6,376,300","6,907,700","628,699",,"8,561,823",,"586,898",,"924,300","140,900","72,300","400",,"1,418,900","1,632,500",,"2010/11"
"2010","Oct","1,131,500","624,100","5,800",,"2,745,200","4,778,900",,"13,362,900","6,414,200","6,948,700","632,139",,"8,616,193",,"586,898",,"924,300","148,200","87,100","1,000",,"1,427,600","1,663,900",,"2010/10"
"2010","Sep","1,128,100","650,900","8,100",,"2,641,400","4,693,700",,"13,156,700","6,315,200","6,841,500","628,699",,"8,484,691",,"552,776",,"942,500","149,800","95,700","1,200",,"1,393,200","1,639,900",,"2010/09"
"2010","Aug","1,139,700","651,300","9,000",,"2,461,800","4,558,200",,"9,979,500","4,790,200","5,189,300","583,976",,"6,473,079",,"573,250",,"263,380","152,200","150,100","2,400",,"180,900","485,600",,"2010/08"
"2010","Jul","1,205,000","1,022,100","13,200",,"2,545,300","5,088,600",,"11,185,200","5,368,900","5,816,300","666,542",,"7,264,581",,"573,250",,"175,500","168,700","218,400","2,200",,"345,100","734,400",,"2010/07"
"2010","Jun","1,132,100","661,500","11,000",,"2,854,700","4,956,000",,"11,970,800","5,746,000","6,224,800","618,378",,"7,748,157",,"552,776",,"182,000","147,400","100,700","900",,"1,136,800","1,385,800",,"2010/06"
"2010","May","1,115,100","625,100","5,100",,"2,902,400","4,946,400",,"12,155,800","5,834,800","6,321,000","586,269",,"7,856,638",,"573,250",,"182,000","142,000","86,400","900",,"1,282,900","1,512,200",,"2010/05"
"2010","Apr","1,069,400","598,000","5,300",,"2,617,200","4,531,100",,"12,029,300","5,774,100","6,255,200","603,470",,"7,779,578",,"552,776",,"629,200","133,000","89,200","500",,"1,189,400","1,412,100",,"2010/04"
"2010","Mar","1,224,300","654,600","3,500",,"2,571,500","4,706,500",,"12,852,300","6,169,100","6,683,200","628,699",,"8,305,672",,"573,250",,"852,800","137,100","101,800","600",,"1,247,600","1,487,100",,"2010/03"
"2010","Feb","1,149,800","563,400","4,400",,"2,707,900","4,662,100",,"12,813,500","6,150,500","6,663,000","589,709",,"8,263,052",,"539,128",,"799,349","142,200","67,200","500",,"1,410,600","1,620,500",,"2010/02"
"2010","Jan","593,100","595,900","-4,600",,"2,534,300","3,962,200",,"11,238,600","5,394,500","5,844,100","629,846",,"7,293,312",,"573,250",,"685,100","135,500","83,400","-6,300",,"1,178,200","1,390,800",,"2010/01"
"2009","Dec","1,113,300","689,800","13,000",,"2,320,200","4,354,300",,,,,"605,692",,"7,636,300",,"586,898",,"555,000","136,100","76,400","4,700",,"1,279,800","1,497,000",,"2009/12"
"2009","Nov","1,050,700","718,200","10,100",,"2,783,100","4,802,100",,,,,"585,884",,"8,429,600",,"586,898",,"773,000","130,100","70,800","4,300",,"1,434,700","1,639,900",,"2009/11"
"2009","Oct","1,161,300","746,400","7,300",,"2,702,300","4,857,500",,,,,"589,012",,"8,469,308",,"586,898",,"741,000","137,000","72,300","1,100",,"1,437,600","1,648,000",,"2009/10"
"2009","Sep","1,152,600","799,200","12,900",,"2,613,300","4,795,300",,,,,"585,884",,"8,685,202",,"552,776",,"773,100","146,200","83,800","1,300",,"1,406,400","1,637,700",,"2009/09"
"2009","Aug","1,126,200","765,900","11,300",,"2,338,200","4,479,600",,,,,"545,227",,"6,292,477",,"573,250",,"202,600","173,400","139,400","1,700",,"172,800","487,300",,"2009/08"
"2009","Jul","1,123,200","1,202,700","17,700",,"2,520,900","5,108,200",,,,,"620,287",,"7,225,537",,"573,250",,"135,000","156,000","211,700","3,800",,"375,300","487,300",,"2009/07"
"2009","Jun","1,110,700","816,300","11,400",,"2,805,800","4,996,800",,,,,"576,502",,"7,674,978",,"552,776",,"140,000","151,800","100,300","2,300",,"1,112,500","746,800",,"2009/06"
"2009","May","1,072,300","742,600","8,600",,"2,924,000","4,996,000",,,,,"547,312",,"7,843,462",,"573,250",,"165,000","181,300","75,900","700",,"1,266,300","1,366,900",,"2009/05"
"2009","Apr","1,145,500","705,300","7,200",,"2,766,900","4,838,200",,,,,"562,949",,"8,085,225",,"552,776",,"587,800","178,200","81,000","1,100",,"1,249,300","1,524,200",,"2009/04"
"2009","Mar","1,288,400","734,900","7,900",,"2,773,200","5,020,600",,,,,"585,884",,"8,420,434",,"573,250",,"679,000","194,200","78,000","1,500",,"1,251,000","1,509,600",,"2009/03"
"2009","Feb","1,202,300","659,600","7,000",,"2,776,900","4,849,000",,,,,"550,439",,"8,151,867",,"539,128",,"637,000","201,400","67,400","2,100",,"1,268,400","1,539,300",,"2009/02"
"2009","Jan","688,700","687,400","-1,200",,"2,741,700","4,365,900",,,,,"586,927",,"7,236,527",,"573,250",,"590,450","-130,300","67,800","-6,600",,"1,155,700","1,086,600",,"2009/01"
"2008","Dec","1,187,880","707,280","15,160",,"2,543,625","4,608,326",,,,,"581,000",,"7,986,112",,"592,000",,"689,758","171,612","86,950","7,875",,"1,222,885","1,489,322",,"2008/12"
"2008","Nov","1,096,395","697,090","8,648",,"2,929,341","4,929,672",,,,,"562,000",,"8,417,149",,"592,000",,"689,758","161,575","79,497","1,584",,"1,367,715","1,610,371",,"2008/11"
"2008","Oct","1,222,319","815,000","11,935",,"3,204,873","5,457,466",,,,,"570,000",,"9,113,277",,"592,000",,"770,508","190,588","84,379","1,980",,"1,405,613","1,682,560",,"2008/10"
"2008","Sep","1,256,279","822,642","12,375",,"2,884,251","5,177,746",,,,,"562,000",,"8,696,034",,"559,000",,"740,058","179,030","94,703","2,164",,"1,349,560","1,625,457",,"2008/09"
"2008","Aug","1,237,544","799,288","14,303",,"2,662,268","4,896,267",,,,,"553,000",,"6,797,743",,"577,000",,"184,000","169,208","157,381","3,496",,"252,891","582,976",,"2008/08"
"2008","Jul","1,308,957","1,310,798","26,490",,"2,757,908","5,619,179",,,,,"587,000",,"7,910,232",,"577,000",,"113,200","173,458","237,635","7,452",,"436,717","855,263",,"2008/07"
"2008","Jun","1,170,272","838,962","15,705",,"2,929,807","5,171,706",,,,,"579,000",,"7,709,657",,"559,000",,"113,200","146,445","106,284","2,388",,"999,862","1,254,979",,"2008/06"
"2008","May","1,156,672","786,595","9,880",,"2,884,448","5,044,722",,,,,"553,000",,"7,802,389",,"577,000",,"113,200","145,108","97,505","1,864",,"1,238,217","1,482,695",,"2008/05"
"2008","Apr","1,234,205","733,908","8,288",,"2,711,755","4,889,255",,,,,"562,000",,"8,113,411",,"559,000",,"569,058","158,808","81,498","1,628",,"1,259,028","1,500,962",,"2008/04"
"2008","Mar","1,178,782","718,833","8,306",,"2,626,069","4,730,069",,,,,"583,000",,"7,926,613",,"577,000",,"524,000","153,674","100,027","2,207",,"1,230,318","1,486,226",,"2008/03"
"2008","Feb","1,042,664","667,741","807",,"2,547,495","4,449,867",,,,,"527,000",,"7,543,397",,"540,000",,"524,000","156,748","71,819","-5,370",,"1,251,650","1,474,848",,"2008/02"
"2008","Jan","903,956","724,994","16,319",,"2,431,605","4,274,194",,,,,"583,000",,"7,298,035",,"577,000",,"508,000","158,987","89,269","9,921",,"1,067,255","1,325,432",,"2008/01"
"2007","Dec","1,329,029","734,249","11,395",,"1,994,256","4,264,715",,,,,"518,000",,"7,267,905",,"591,683",,"342,000","213,543","76,919","7,184",,"1,215,962","1,513,608",,"2007/12"
"2007","Nov","1,120,506","809,849","6,356",,"2,584,129","4,720,391",,,,,"501,000",,"7,729,867",,"591,683",,"733,000","159,202","70,026","968",,"1,380,984","1,611,180",,"2007/11"
"2007","Oct","1,249,848","905,113","8,901",,"2,469,649","4,834,944",,,,,"509,000",,"7,909,218",,"591,683",,"738,000","151,438","76,290","1,496",,"1,344,958","1,574,183",,"2007/10"
"2007","Sep","1,320,621","869,384","9,131",,"2,334,843","4,733,187",,,,,"501,000",,"7,560,208",,"558,734",,"712,000","178,959","84,270","1,956",,"1,388,422","1,653,607",,"2007/09"
"2007","Aug","1,298,190","915,603","14,616",,"2,188,986","4,592,561",,,,,"492,000",,"6,954,599",,"577,413",,"111,000","200,372","144,335","4,396",,"237,762","586,866",,"2007/08"
"2007","Jul","1,436,432","1,435,195","23,814",,"2,177,119","5,290,564",,,,,"522,000",,"7,264,307",,"577,413",,"111,000","205,861","225,009","6,008",,"384,498","821,376",,"2007/07"
"2007","Jun","1,301,996","916,952","19,963",,"2,221,549","4,686,986",,,,,"518,000",,"7,326,853",,"558,734",,"111,000","200,572","100,877","2,780",,"1,025,859","1,330,087",,"2007/06"
"2007","May","1,174,406","932,816","20,347",,"1,947,919","4,299,796",,,,,"492,000",,"6,364,340",,"577,413",,"111,000","168,558","84,001","2,732",,"1,159,599","1,414,890",,"2007/05"
"2007","Apr","1,129,198","765,108","7,998",,"2,368,565","4,490,332",,,,,"501,000",,"8,188,710",,"558,734",,"509,000","170,997","89,683","2,132",,"1,182,013","1,444,825",,"2007/04"
"2007","Mar","1,068,950","835,176","10,291",,"2,484,628","4,621,616",,,,,"517,000",,"8,313,674",,"577,413",,"509,000","176,948","92,606","2,678",,"1,353,062","1,625,295",,"2007/03"
"2007","Feb","1,161,766","739,657","8,546",,"2,331,191","4,465,424",,,,,"463,000",,"8,160,390",,"540,056",,"584,947","206,278","65,269","2,770",,"1,342,396","1,616,713",,"2007/02"
"2007","Jan","1,093,828","815,188","8,184",,"2,236,866","4,376,385",,,,,"517,000",,"7,256,324",,"577,413",,"535,264","-23,652","96,634","205",,"1,146,277","1,219,464",,"2007/01"
"2006","Dec",,,,,,,,,,,,,,,,,,,,,,,,,"2006/12"
"2006","Nov",,,,,,,,,,,,,,,,,,,,,,,,,"2006/11"
"2006","Oct",,,,,,,,,,,,,,,,,,,,,,,,,"2006/10"
"2006","Sep",,,,,,,,,,,,,,,,,,,,,,,,,"2006/09"
"2006","Aug",,,,,,,,,,,,,,,,,,,,,,,,,"2006/08"
"2006","Jul",,,,,,,,,,,,,,,,,,,,,,,,,"2006/07"
"2006","Jun",,,,,,,,,,,,,,,,,,,,,,,,,"2006/06"
"2006","May",,,,,,,,,,,,,,,,,,,,,,,,,"2006/05"
"2006","Apr",,,,,,,,,,,,,,,,,,,,,,,,,"2006/04"
"2006","Mar",,,,,,,,,,,,,,,,,,,,,,,,,"2006/03"
"2006","Feb",,,,,,,,,,,,,,,,,,,,,,,,,"2006/02"
"2006","Jan",,,,,,,,,,,,,,,,,,,,,,,,,"2006/01"
"2005","Dec",,,,,,,,,,,,,,,,,,,,,,,,,"2005/12"
"2005","Nov",,,,,,,,,,,,,,,,,,,,,,,,,"2005/11"
"2005","Oct",,,,,,,,,,,,,,,,,,,,,,,,,"2005/10"
"2005","Sep",,,,,,,,,,,,,,,,,,,,,,,,,"2005/09"
"2005","Aug",,,,,,,,,,,,,,,,,,,,,,,,,"2005/08"
"2005","Jul",,,,,,,,,,,,,,,,,,,,,,,,,"2005/07"
"2005","Jun",,,,,,,,,,,,,,,,,,,,,,,,,"2005/06"
"2005","May",,,,,,,,,,,,,,,,,,,,,,,,,"2005/05"
"2005","Apr",,,,,,,,,,,,,,,,,,,,,,,,,"2005/04"
"2005","Mar",,,,,,,,,,,,,,,,,,,,,,,,,"2005/03"
"2005","Feb",,,,,,,,,,,,,,,,,,,,,,,,,"2005/02"
"2005","Jan",,,,,,,,,,,,,,,,,,,,,,,,,"2005/01"
"2004","Dec",,,,,,,,,,,,,,,,,,,,,,,,,"2004/12"
"2004","Nov",,,,,,,,,,,,,,,,,,,,,,,,,"2004/11"
"2004","Oct",,,,,,,,,,,,,,,,,,,,,,,,,"2004/10"
"2004","Sep",,,,,,,,,,,,,,,,,,,,,,,,,"2004/09"
"2004","Aug",,,,,,,,,,,,,,,,,,,,,,,,,"2004/08"
"2004","Jul",,,,,,,,,,,,,,,,,,,,,,,,,"2004/07"
"2004","Jun",,,,,,,,,,,,,,,,,,,,,,,,,"2004/06"
